category,model,n,auroc
coding,logreg,214,0.820855614973262
extraction,logreg,226,0.7686746987951808
humanities,logreg,251,0.8419452887537994
math,logreg,197,0.8494152046783625
reasoning,logreg,165,0.7441239316239318
roleplay,logreg,275,0.8277581004853732
stem,logreg,263,0.863854938890002
writing,logreg,228,0.7392494929006085
coding,histgbm,214,0.7946524064171123
extraction,histgbm,226,0.7532630522088354
humanities,histgbm,251,0.8280141843971631
math,histgbm,197,0.8520467836257309
reasoning,histgbm,165,0.7532941595441595
roleplay,histgbm,275,0.7997179588088679
stem,histgbm,263,0.8464736525746344
writing,histgbm,228,0.7587221095334685
